5000.0,2808.0
3760.0,2804.0
3756.0,3604.0
3884.0,3608.0
3900.0,3680.0
3760.0,3688.0
3752.0,3868.0
2048.0,3864.0
2040.0,4280.0
1880.0,4292.0
1888.0,3740.0
1040.0,3732.0
1032.0,3936.0
836.0,3936.0,
824.0,4024.0
88.0,4012.0
84.0,4836.0
800.0,4836.0
788.0,4680.0
952.0,4676.0
964.0,4556.0
1352.0,4572.0
1348.0,4208.0
1520.0,4196.0
1528.0,4316.0
1700.0,4324.0
1696.0,4628.0
2240.0,4636.0
2240.0,4236.0
2416.0,4232.0
2424.0,4084.0
2560.0,4080.0
2564.0,4248.0
3016.0,4240.0
3016.0,4080.0
3128.0,4068.0
3132.0,4224.0
4068.0,4236.0
4060.0,4096.0
3928.0,4080.0
3932.0,4008.0
4072.0,3996.0
4068.0,3380.0
4540.0,3384.0
4536.0,6392.0
4736.0,6384.0
4744.0,3388.0
5008.0,3384.0
